,permit#,permit_type_description,permit_subtype_description,date_entered,date_issued,construction_cost,address,city,state,zip,subdivision/lot,contact,purpose,council_district
81,2020075547,Building Residential - New,Duplex,12/3/2020,4/8/2021,254725,3004  WILTSHIRE PARK PL,HERMITAGE,TN,37076,UNIT B HOMES AT PARK AT WILTSHIRE LT2,LANDMARK HOMES OF TN INC,"To construct a duplex residence with 2101 sq ft living area, 446 sq ft garage, 199 sq ft porch/deck area.  Must comply with tree regulation; one new two inch tree for every 30' road frontage , for every 50' road frontage a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  SP Zoning",12.0
82,2021000303,Building Residential - New,Duplex,1/4/2021,1/28/2021,332804,435B W BEND DR,NASHVILLE,TN,37209,UNIT B TOWNHOMES AT 425 WEST BEND DRIVE,"YARBROUGH, MARK DBA ACTION TN","TO CONSTRUCT A NEW 2-STORY TOWNHOME CONDOMINIUM, APPROX. 2,745 SQ.FT.  units attached.  max allowed height is 45' three floors max.  37.7' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
83,2020038553,Building Residential - New,Duplex,6/22/2020,7/2/2020,208169,803  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1412 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1717 sq. ft. single family house with an attached 395 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
84,2020073362,Building Residential - New,Duplex,11/23/2020,1/14/2021,256059,3220B  ALPINE AVE,NASHVILLE,TN,37218,UNIT B THIRTYTWO-TWENTY ALPINE AVENUE,"JACKSON BUILDERS,LLC","To construct ...Unit B... of HPR detached duplex with 2112sf heated and cooled, 225sf porches/decks, and 445sf garage.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  corner lot.  42.1' min front s/b; 10' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  parent parcel is map 70-5 parcel 48, is zoned R10, contains 11326 sf lot area and is in a pre 1984 recorded subdivision.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",2.0
85,2019036243,Building Residential - New,Duplex,6/19/2019,6/24/2019,166900,848  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1341 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1962 sq. ft. single family home with an attached 399 sq. ft. two car garage. To be built under Master Permit # 201907468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
86,2020069098,Building Residential - New,Duplex,11/3/2020,12/10/2020,468229,1086  ARCHER ST,NASHVILLE,TN,37203,UNIT A 1086 ARCHER STREET HOMES,PAROS GROUP LLC,"To construct ...Unit A� of HPR detached duplex with 3862sf heated/cooled and 1239sf porches/decks.
front setback 43.8' per average, 5' min. side setback, 20' min. rear setback. max height is 3 stories and 37.5'.
not to be over any easements. lot coverage is 1638Sf of maximum 5037SF.  units detached.  max allowed height is 37.5'.  min required distance between structures is 6' min with no bump outs.  43.775' min front s/b; 5' min side s/b; 20' min rear s/b.  parent parcel is map 105-1 parcel 529, is zoned R6, contains 9583 sf lot area and is in a pre 1984 recorded subdivision.  must comply fully with metro council bills 2014-725 and 2014-770.     
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",17.0
87,2020068816,Building Residential - New,Duplex,11/2/2020,11/17/2020,206835,819  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1372 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1706 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
88,2020023346,Building Residential Rehab Storm Damage,Duplex,4/13/2020,5/4/2020,100000,1505A  HOLLY ST,NASHVILLE,TN,37206,UNIT A HAWKEYE TOWNHOMES ON HOLLY,LEGACY SOUTH BUILDERS LLC,"Repair of storm damage.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
89,2020001445,Building Residential - Addition,Duplex,1/8/2020,1/10/2020,60606,2170A  ROCK CITY ST,NASHVILLE,TN,37216,LOT 22-A W.A.&R.R. MAXEY SUB ZONE LOT DIV,RHOW PROPERTIES LLC,"To construct a 33.2 Ft x 16.2 ft (538 sq ft) addition with master bed/bath  to rear of side A of existing zero lot line duplex.  5 ft minimum side setback and 20 ft  minimum  rear s/b.  Must conform with easements. Remains single family. Must comply with SBCCI section 403.3 and metro council bill 84-390.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7.0
90,2020056239,Building Residential - New,Duplex,9/8/2020,9/22/2020,206835,808  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1241 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,To build a 1706 Sq. ft. Single Family House with an attached 395 sq. ft. two car garage.  To be built under Master Permit # 201907468.,14.0
91,2020001051,Building Residential - Addition,Duplex,1/7/2020,1/8/2020,20000,1906  SHELBY AVE,NASHVILLE,TN,37206,LOT 157 EDGEFIELD LAND CO 1,ARTISAN BUILD CONSTRUCT LLC,"per MHZC preservation permit 2019026496, to construct a front porch addition to existing duplex.  unheated space.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
92,2020070654,Building Residential New Storm Damage,Duplex,11/10/2020,11/24/2020,217020,3512  ALBEE DR,HERMITAGE,TN,37076,LOT 48 CHAPELWOOD SEC. 2,"TRINITY CONSTRUCTION GROUP, LLC","Duplex destroyed during March tornado. Duplex to be rebuilt on the same footprint, utilizing the existing footers and foundation block with input from onsite review and letter from structural engineer.  must comply with tree regulations one new two inch tree for every 50' site frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
93,2020035495,Building Residential New Storm Damage,Duplex,6/9/2020,8/25/2020,198769,4191  DODSON CHAPEL RD,HERMITAGE,TN,37076,LOT 3 CHAPELWOOD SEC. 1,McKenzie Construction,"Demolish and rebuild duplex that was destroyed by tornado in same location.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
94,2020075554,Building Residential - New,Duplex,12/3/2020,4/8/2021,254725,3019  WILTSHIRE PARK PL,HERMITAGE,TN,37076,UNIT B HOMES AT PARK AT WILTSHIRE LOT 28,LANDMARK HOMES OF TN INC,"To construct a duplex residence with 2101 sq ft living area, 446 sq ft garage, 199 sq ft porch/deck area.  Must comply with tree regulation; one new two inch tree for every 30' road frontage , for every 50' road frontage a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  SP Zoning",12.0
95,2020038559,Building Residential - New,Duplex,6/22/2020,7/8/2020,208169,807  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1402 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build an 1717 sq. ft. single family house with an attached 395 sq.ft. two car garage.  To be built under Master Permit # 201907468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
96,2020054522,Building Residential - New,Duplex,8/31/2020,9/24/2020,224294,1807  16TH AVE N,NASHVILLE,TN,37208,UNIT A HOMES AT 1807 16TH AVE N,TIMO6 LLC,"parent parcel is map 81-7 parcel 225, is zoned R6, contains 7300 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex with 1850 sf living area and 56 sf porch area.  units attached.  max allowed height is 45' three floors max.  23.6' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  SEPARATE PERMIT REQUIRED FOR DETACHED CARPORT.  must comply fully with metro council bills 2014-725 and 2014-770.",21.0
97,2020016857,Building Residential Rehab Storm Damage,Duplex,3/15/2020,3/16/2020,109116,4185  DODSON CHAPEL RD,HERMITAGE,TN,37076,LOT 4 CHAPELWOOD SEC. 1,"REMARKABLE RESTORATIONS, LLC","Repair existing roof, Demo and clean up inside.  no increase to building footprint.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
98,2020070528,Building Residential - New,Duplex,11/10/2020,12/14/2020,249027,6313  FRANKLIN DR,NASHVILLE,TN,37209,UNIT B SIX ZERO EIGHT JAMES AVENUE,Vesta & Vulcan,"To build DETACHED 2 family dwelling unit at 6313 Franklin Dr (AKA 608 James Ave), on plan set as EAST residence. See page 7 (A2.1) of the house plans for front elevations. I'm not sure  Duplex  is the correct permit sub-type? East residence is 2,054 sqft conditioned, 184 sqft front porch, rear uncovered deck, no garage. (top right corner of pg 4/A1.1).  parent parcel is map 90-8 parcel 159, is zoned R8, contains 10,454 sf lot area and is in a pre 1984 recorded subdivision.  units detached.  max allowed height is 45' three floors max.  corner lot.  50.3' min front s/b; 30' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  min required distance between structures is 6' min with no bump outs.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
99,2020072668,Building Residential New Storm Damage,Duplex,11/19/2020,3/17/2021,240783,1808  HOLLY ST,NASHVILLE,TN,37206,LOT 110 BLK E PRIEST HOME,"BATES, DANIEL ELI",To construct a standard duplex with 1986 sf of living space and 192sf covered porches.  To comply with Historic Preservation permit.,6.0
100,2020080012,Building Residential - New,Duplex,12/25/2020,2/2/2021,333895,2B  BELLE FORREST AVE,NASHVILLE,TN,37206,UNIT B RESIDENCES AT TWO THOUSAND SCOTT AVENUE,PAROS GROUP LLC,"To construct ...Unit B� of HPR detached duplex with 2754sf heated/cooled and 276sf porches/decks.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  corner lot.  40' min front s/b; 10' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",7.0
101,2018044578,Building Residential - Rehab,Duplex,7/30/2018,8/1/2018,12500,4769  TERRAGON TRL,ANTIOCH,TN,37013,LOT 83  TERRAGON TRAILS SEC 5-2ND REV,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),"EXISTING DUPLEX....TOP AND BOTTOM.
THIS PERMIT TO REPAIR THE BOTTOM UNIT.. AND NEW DECK ATTACHED TO REAR OF THIS UNIT...REAR MIN 20'...SIDES MIN 5'....APPROX 12 X12 .
see NES records sent to file 7/30/2018.   no increase to building footprint.  no increase in number of dwelling units.  subject to inspectors approval...1�.Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility  for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general Contractor�s  licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  I further understand that separate permits are required for any proposed electrical, plumbing, & gas/mechanical work and is not part of 
this building permit�.2.. Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code�.3***You can dig your footers, but do not pour any concrete until you call for an inspection.  Also do not put up any drywall until you call for an inspection.  The idea is you do not cover up anything  with concrete or drywall until an inspector has had a chance to review� Please call 811 before you dig ***SITE PLAN SENT TO FILE",28.0
102,2020023347,Building Residential Rehab Storm Damage,Duplex,4/13/2020,5/4/2020,100000,1505B  HOLLY ST,NASHVILLE,TN,37206,UNIT B HAWKEYE TOWNHOMES ON HOLLY,LEGACY SOUTH BUILDERS LLC,"tornado damage. Repair of siding, roofing, structural wall damage.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
103,2020054504,Building Residential - New,Duplex,8/31/2020,9/16/2020,262242,824  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1281 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 2163 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
104,2020005167,Building Residential - Rehab,Duplex,1/23/2020,1/23/2020,70000,1002A  FAIRWIN AVE,NASHVILLE,TN,37216,LOT 63 ESKRIDGE SUB,"CRAFTLOGIC CONSTRUCTION, INC.","TO CONDUCT GENERAL RENOVATIONS TO LOWER APARTMENT OF EXISTING CONVENTIONAL DUPLEX� �NOT AN HPR� �NO CHANGE TO EXTERIOR BUILDING ROOF LINES OR FOOTPRINT� �
 
***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24� X 36� IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED� �",5.0
105,2020080758,Building Residential - New,Duplex,12/30/2020,1/25/2021,243571,707  WACO DR,NASHVILLE,TN,37209,UNIT B 705 WACO DRIVE TOWNHOMES,THE MC2 GROUP INC,"To construct ...Unit B� of HPR attached duplex with 2009sf heated/cooled, 472sf attached garage, and 106sf porches/decks.  units attached.  max allowed height is 45' three floors max.  40' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
106,2020012424,Building Residential - New,Duplex,2/25/2020,3/4/2020,227891,6038  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076,UNIT 1161 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 2023 sq. ft. single family house with an attached 399 sq. ft. two car garage.  To be built under Master Permit #2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
107,2020075545,Building Residential - New,Duplex,12/3/2020,4/8/2021,251088,3006  WILTSHIRE PARK PL,HERMITAGE,TN,37076,UNIT A HOMES AT PARK AT WILTSHIRE LT2,LANDMARK HOMES OF TN INC,"To construct a duplex residence with 2071 sq ft living area, 448 sq ft garage, 194 sq ft porch/deck area.  Must comply with tree regulation; one new two inch tree for every 30' road frontage , for every 50' road frontage a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  SP Zoning",12.0
108,2020017977,Building Residential - New,Duplex,3/19/2020,4/6/2020,189862,834  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1302 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1566 sq. ft. single family  house with an attached 295 sq. ft two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
109,2019072320,Building Residential - Addition,Duplex,11/25/2019,11/25/2019,16067,5522  EULALA DR,NASHVILLE,TN,37211,LOT 139-B HICKORY VIEW SEC 2 ZONE LOT DIV,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),to demolish and replaced existing deck with a 360 sf with 6 x 8 bath area to rear of residence.  zero lot line duplex.  20' min rear s/b.  must comply with SBCCI section 403.3 and metro council bill 84-390.  triple fee to be applied per property standards.  subject to inspectors approval.,31.0
110,2019027214,Building Residential - New,Duplex,5/9/2019,5/16/2019,176410,708  COPPER BRANCH RD,HERMITAGE,TN,37076,LOT 144 MAGNOLIA FARMS PH 2 SEC 1,BEAZER HOMES CORP,To build a 1566 sq. ft. single family home with an attached 394 sq. ft two car garage.   Must comply with SP BL2017-768 and MASTER PERMIT # 2019007468,14.0
111,2020080841,Building Residential - New,Duplex,12/31/2020,2/1/2021,181981,800  RUNOFF WAY,NASHVILLE,TN,37218,UNIT 30B CROSSING AT DRAKES BRANCH,SDH NASHVILLE LLC,"to construct Unit B of attached duplex with 1501 SF of living space, 401 SF garage, and 190 SF in porches/decks. units attached,  max allowed height is 45' three floors max.  corner lot.  20' min front s/b; 15' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",1.0
112,2019028917,Building Residential - New,Duplex,5/16/2019,5/21/2019,281625,437  CREEDMORE DR,OLD HICKORY,TN,37138,LOT 6 ROBINSON FLATS,"E SQUARED,LLC","to construct 2500SF duplex residence(1250SF each side). 5' side setback, 20' min. rear and front setback. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11.0
113,2018042827,Building Residential - Fire Damage,Duplex,7/23/2018,7/24/2018,65000,321B  PINEWAY DR,NASHVILLE,TN,37217,LOT 28 SEC 2 SEVEN OAKS,HUFFINE FIRST SERVICE,parcel is zoned R10 and contains 1.77 acres.  this permit to rehab fire damaged duplex.  no increase in number of units.  no increase to building footprint.  subject to inspectors approval.,13.0
114,2020068845,Building Residential - New,Duplex,11/2/2020,12/16/2020,394030,3404  TRIMBLE RD,NASHVILLE,TN,37215,UNIT A 3406 TRIMBLE ROAD,PAROS GROUP LLC,"To construct ...Unit A� of HPR detached duplex with 3250sf heated, cooled and 178sf porches/decks, and 560sf garage.  82.3' min front s/b; 10' min side s/b; 20' min rear s/b.  units detached.  35.25' max allowed height.  min required distance between structures is 6' min with no bump outs. must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",34.0
115,2019022932,Building Residential - New,Duplex,4/19/2019,4/19/2019,2000,2519B  BLAIR BLVD,NASHVILLE,TN,37212,PT LOT 90 SUNSET PARK,TWIN TEAM CONSTRUCTION LLC,"PERMIT TO CONVERT EXISTING RESIDENCE TO DUPLEX... � APARTMENT B...(UPPER LEVEL) �NOT AN HPR� ...COMPLETE ADDITION AND INTERIOR RENOVATIONS INITIATED UNDER PERMIT CARA-2018078921... ...

CARA-2018078921 PERMIT TO CONSTRUCT 25�x25�ADDITION OFF REAR OF EXISTING RESIDENCE... �PERMIT INCLUDES INTERIOR RENOVATIONS TO EXISTING STRUCTURE� � MUST COMPLY WITH OV-NHC, NEIGHBORHOOD CONSERVATION OVERLAY� � MUST COMPLY WITH METRO HISTORIC ZONING COMMISSION PERMIT HCP-2018004513� � SEE PLANS... �

LEGAL NON-CONFORMING DUPLEX� �NES RECORDS DATING BACK PRIOR TO EFFECTIVE DATE OF 5/19/2007 ESTABLISHING RS7.5 ZONING DISTRICT�(PRIOR ZONING: R8) �METERS ON UNDER SEPARATE ACCOUNTS WITH NO BREAK IN USE EXCEEDING 30 MONTHS.",18.0
116,2020008801,Building Residential - New,Duplex,2/10/2020,2/26/2020,245464,6060  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076,UNIT 1212 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To Build a 2179 sq. ft. single family house with an attached 395 sq. ft. two car garage.  To be built under Master Permit # 201907468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
117,2020060643,Building Residential - New,Duplex,9/25/2020,11/23/2020,327712,1029  14TH AVE S,NASHVILLE,TN,37212,UNIT A 1029 14TH AVENUE TOWNHOMES,"SAPPHIRE DEVELOPMENT, LLC","to contruct Unit A of attached duplex/HPR, with 2703 SF of living space, 626 SF porches/decks.  parent parcel is zoned R6-A, contains 7488 sf lot area and is in a pre 1984 recorded subdivision.  units attached.  max allowed height is 45' three floors max.  34.6' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",19.0
118,2020072236,Building Residential - Rehab,Duplex,11/18/2020,1/8/2021,46000,2400  PAFFORD DR,NASHVILLE,TN,37206,LOT 11 ROSEBANK PARK RE-SUB. OF LOTS 11 & 12,"ACE DEVELOPERS & IMPORTERS, SETH AFOTEY DBA,","to conduct interior renovations to existing duplex residence. no change to footprint.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7.0
119,2020033632,Building Residential - New,Duplex,6/1/2020,6/10/2020,245269,800  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1221 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 2023 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
120,2021007299,Building Residential - Rehab,Duplex,2/3/2021,2/5/2021,5000,228 E PALESTINE AVE,MADISON,TN,37115,LOT 2 W. M. ROBINSON SUB,"WEROC, Inc.","Adding a new meter box, new service, 100 amps for existing duplex.  no increase to building footprint.  no increase to number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7.0
121,2019036249,Building Residential - New,Duplex,6/19/2019,6/24/2019,166900,850  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1342 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1959 sq. ft. single family house with an attached 399 sq. ft. two car garage.  To be built under Master Permit # 20197468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
122,2020068369,Building Residential - Rehab,Duplex,10/30/2020,3/4/2021,300000,610  RUSSELL ST,NASHVILLE,TN,37206,LOT 66 HENRY BLOODS ADDN,K & J ASSOCIATES INC,"Existing Duplex at 610 Russell Street, previous owner gutted house and had a stop work order put on it. He has since sold it and we are putting it back as it was due to historical restrictions.  MHZC must review application.  no increase to building footprint.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
123,2020037965,Building Residential New Storm Damage,Duplex,6/18/2020,8/4/2020,280000,600  NEWHALL DR,NASHVILLE,TN,37206,LOT 297-A FORTLAND PARK SEC 4 ZONE LOT DIV,LEGACY SOUTH BUILDERS LLC,"To construct back a zero lot line duplex unit 1415 heated/cooled square feet and 187 square feet of porches to comply with SBCCI section 403.3 and metro council bill 1984-390.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
124,2018066835,Building Residential - Rehab,Duplex,10/22/2018,10/22/2018,30000,1505  ANDY ST,NASHVILLE,TN,37216,LOT 14 LEE SUB SEC 2,"CRAFTSMAN BUILDERS, LLC",parcel contains 7865 sf lot area and is zoned R6.  this permit to rehab existing duplex.  no increase to building footprint.  no increase in number of dwelling units.  subject to inspectors approval.,7.0
125,2020060098,Building Residential - New,Duplex,9/23/2020,10/21/2020,248906,1914B  HUTTON DR,NASHVILLE,TN,37210,UNIT B 1914 HUTTON DRIVE TOWNHOMES,THE MC2 GROUP INC,"To construct a new single family residence, Unit B of proposed detached HPR, 2053 SF of living space, 568 Sf garage, and 170 SF porches/decks.  parent parcel is map 106-9 parcel 33, is zoned R6, contains 12,200 sf lot area and is in a pre 1984 recorded subdivision.  units detached. max allowed height is 40.8.  min required distance between structures is 6' min with no bump outs.  38.4' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for evert 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",17.0
